"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","LMS System","0","Authentication","10","0","Registration","0"
"0","LMS System","0","Courses","12","0","Courses_list","0"
"0","LMS System","0","Courses","18","0","Create_course","0"
"0","LMS System","0","Authentication","7","0","Authorization","0"
"0","LMS System","0","Dashboard","4","0","Dashboard","0"
