"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","128","test_empty_courses_list[chromium]","LMS System","Thu Oct 30 20:18:20 UTC 2025","passed","Thu Oct 30 20:18:20 UTC 2025","Courses_list","Courses","",""
"","1575","test_edit_course[chromium]","LMS System","Thu Oct 30 20:18:28 UTC 2025","passed","Thu Oct 30 20:18:29 UTC 2025","Courses_list","Courses","",""
"","70","Test image form upload image","LMS System","Thu Oct 30 20:18:28 UTC 2025","passed","Thu Oct 30 20:18:28 UTC 2025","Create_course","Courses","",""
"","263","Test fill and visibility create course form","LMS System","Thu Oct 30 20:18:29 UTC 2025","passed","Thu Oct 30 20:18:30 UTC 2025","Create_course","Courses","",""
"","199","Test alert after login with incorrect credits","LMS System","Thu Oct 30 20:18:13 UTC 2025","passed","Thu Oct 30 20:18:13 UTC 2025","Authorization","Authentication","",""
"","522","Successful registration with correct credits","LMS System","Thu Oct 30 20:18:13 UTC 2025","passed","Thu Oct 30 20:18:14 UTC 2025","Registration","Authentication","",""
"","101","test_courses_full_view_course_card[chromium-1-Test course #2-12-3-2h 30m]","LMS System","Thu Oct 30 20:18:25 UTC 2025","passed","Thu Oct 30 20:18:25 UTC 2025","Courses_list","Courses","",""
"","67","Check URL after click logout button","LMS System","Thu Oct 30 20:18:37 UTC 2025","passed","Thu Oct 30 20:18:37 UTC 2025","Dashboard","Dashboard","",""
"","71","Test visibility create exercises toolbar","LMS System","Thu Oct 30 20:18:31 UTC 2025","passed","Thu Oct 30 20:18:31 UTC 2025","Create_course","Courses","",""
"","1065","Successful login after logout after registration","LMS System","Thu Oct 30 20:18:14 UTC 2025","passed","Thu Oct 30 20:18:15 UTC 2025","Registration","Authentication","",""
"","325","Check dashboard displaying navbar, sidebar and charts","LMS System","Thu Oct 30 20:18:35 UTC 2025","passed","Thu Oct 30 20:18:35 UTC 2025","Dashboard","Dashboard","",""
"","77","Test visibility create course toolbar","LMS System","Thu Oct 30 20:18:25 UTC 2025","passed","Thu Oct 30 20:18:25 UTC 2025","Create_course","Courses","",""
"","58","test_courses_full_view_edit_button[chromium-0]","LMS System","Thu Oct 30 20:18:22 UTC 2025","passed","Thu Oct 30 20:18:22 UTC 2025","Courses_list","Courses","",""
"","376","Test fill and visibility create course form","LMS System","Thu Oct 30 20:18:29 UTC 2025","passed","Thu Oct 30 20:18:29 UTC 2025","Create_course","Courses","",""
"","80","test_courses_empty_view[chromium]","LMS System","Thu Oct 30 20:18:17 UTC 2025","passed","Thu Oct 30 20:18:17 UTC 2025","Courses_list","Courses","",""
"","195","Test fully view after upload image","LMS System","Thu Oct 30 20:18:27 UTC 2025","passed","Thu Oct 30 20:18:27 UTC 2025","Create_course","Courses","",""
"","59","Test empty view before create exercises","LMS System","Thu Oct 30 20:18:32 UTC 2025","passed","Thu Oct 30 20:18:32 UTC 2025","Create_course","Courses","",""
"","275","Test visibility registration form","LMS System","Thu Oct 30 20:18:15 UTC 2025","passed","Thu Oct 30 20:18:15 UTC 2025","Registration","Authentication","",""
"","68","Test empty view before upload image","LMS System","Thu Oct 30 20:18:28 UTC 2025","passed","Thu Oct 30 20:18:28 UTC 2025","Create_course","Courses","",""
"","93","Check URL after click dashboard button","LMS System","Thu Oct 30 20:18:36 UTC 2025","passed","Thu Oct 30 20:18:36 UTC 2025","Dashboard","Dashboard","",""
"","130","test_courses_full_view_edit_course_item[chromium-0]","LMS System","Thu Oct 30 20:18:20 UTC 2025","passed","Thu Oct 30 20:18:20 UTC 2025","Courses_list","Courses","",""
"","1023","Successful login after logout after registration","LMS System","Thu Oct 30 20:18:14 UTC 2025","passed","Thu Oct 30 20:18:15 UTC 2025","Registration","Authentication","",""
"","165","Test image form after upload image","LMS System","Thu Oct 30 20:18:30 UTC 2025","passed","Thu Oct 30 20:18:30 UTC 2025","Create_course","Courses","",""
"","118","test_exercise_subtitle[chromium-0]","LMS System","Thu Oct 30 20:18:33 UTC 2025","passed","Thu Oct 30 20:18:33 UTC 2025","Create_course","Courses","",""
"","82","test_courses_full_view_edit_button[chromium-1]","LMS System","Thu Oct 30 20:18:24 UTC 2025","passed","Thu Oct 30 20:18:24 UTC 2025","Courses_list","Courses","",""
"","279","test_exercise_create_form[chromium-0--]","LMS System","Thu Oct 30 20:18:34 UTC 2025","passed","Thu Oct 30 20:18:34 UTC 2025","Create_course","Courses","",""
"","186","Test visibility registration form","LMS System","Thu Oct 30 20:18:17 UTC 2025","passed","Thu Oct 30 20:18:17 UTC 2025","Registration","Authentication","",""
"","100","test_courses_full_view_edit_course_item[chromium-1]","LMS System","Thu Oct 30 20:18:22 UTC 2025","passed","Thu Oct 30 20:18:22 UTC 2025","Courses_list","Courses","",""
"","315","Test fill and visibility create course form","LMS System","Thu Oct 30 20:18:31 UTC 2025","passed","Thu Oct 30 20:18:31 UTC 2025","Create_course","Courses","",""
"","154","Test visibility login form","LMS System","Thu Oct 30 20:18:10 UTC 2025","passed","Thu Oct 30 20:18:10 UTC 2025","Authorization","Authentication","",""
"","180","Test visibility registration form","LMS System","Thu Oct 30 20:18:18 UTC 2025","passed","Thu Oct 30 20:18:19 UTC 2025","Registration","Authentication","",""
"","165","test_exercise_delete_button[chromium-0]","LMS System","Thu Oct 30 20:18:33 UTC 2025","passed","Thu Oct 30 20:18:33 UTC 2025","Create_course","Courses","",""
"","79","test_courses_full_view_course_card[chromium-0-Test course #1-10-1-1h 20m]","LMS System","Thu Oct 30 20:18:23 UTC 2025","passed","Thu Oct 30 20:18:23 UTC 2025","Courses_list","Courses","",""
"","198","Test alert after login with incorrect credits","LMS System","Thu Oct 30 20:18:11 UTC 2025","passed","Thu Oct 30 20:18:12 UTC 2025","Authorization","Authentication","",""
"","228","test_exercise_create_form[chromium-0-Ex #1-Desc #1]","LMS System","Thu Oct 30 20:18:33 UTC 2025","passed","Thu Oct 30 20:18:33 UTC 2025","Create_course","Courses","",""
"","1073","Successful login after logout after registration","LMS System","Thu Oct 30 20:18:12 UTC 2025","passed","Thu Oct 30 20:18:13 UTC 2025","Registration","Authentication","",""
"","107","test_courses_full_view_delete_course_item[chromium-0]","LMS System","Thu Oct 30 20:18:24 UTC 2025","passed","Thu Oct 30 20:18:24 UTC 2025","Courses_list","Courses","",""
"","767","Successful registration with correct credits","LMS System","Thu Oct 30 20:18:09 UTC 2025","passed","Thu Oct 30 20:18:10 UTC 2025","Registration","Authentication","",""
"","114","Check URL after click courses button","LMS System","Thu Oct 30 20:18:36 UTC 2025","passed","Thu Oct 30 20:18:36 UTC 2025","Dashboard","Dashboard","",""
"","274","Test alert after login with incorrect credits","LMS System","Thu Oct 30 20:18:10 UTC 2025","passed","Thu Oct 30 20:18:10 UTC 2025","Authorization","Authentication","",""
"","121","Test visibility login form","LMS System","Thu Oct 30 20:18:13 UTC 2025","passed","Thu Oct 30 20:18:13 UTC 2025","Authorization","Authentication","",""
"","320","Test fill and visibility create course form","LMS System","Thu Oct 30 20:18:31 UTC 2025","passed","Thu Oct 30 20:18:31 UTC 2025","Create_course","Courses","",""
"","559","Successful registration with correct credits","LMS System","Thu Oct 30 20:18:11 UTC 2025","passed","Thu Oct 30 20:18:12 UTC 2025","Registration","Authentication","",""
"","136","Test URL after click login and check visibility","LMS System","Thu Oct 30 20:18:16 UTC 2025","passed","Thu Oct 30 20:18:17 UTC 2025","Registration","Authentication","",""
"","872","test_create_course[chromium]","LMS System","Thu Oct 30 20:18:25 UTC 2025","passed","Thu Oct 30 20:18:26 UTC 2025","Courses_list","Courses","",""
"","189","test_exercise_create_form[chromium-0-Ex #2-Desc #2]","LMS System","Thu Oct 30 20:18:34 UTC 2025","passed","Thu Oct 30 20:18:34 UTC 2025","Create_course","Courses","",""
"","248","Test fill and visibility create course form","LMS System","Thu Oct 30 20:18:31 UTC 2025","passed","Thu Oct 30 20:18:31 UTC 2025","Create_course","Courses","",""
"","243","Test URL after click registration and check visibility","LMS System","Thu Oct 30 20:18:10 UTC 2025","passed","Thu Oct 30 20:18:10 UTC 2025","Authorization","Authentication","",""
"","229","test_exercise_create_form[chromium-0-Ex #4-Desc #4]","LMS System","Thu Oct 30 20:18:35 UTC 2025","passed","Thu Oct 30 20:18:35 UTC 2025","Create_course","Courses","",""
"","75","Test visibility login form","LMS System","Thu Oct 30 20:18:11 UTC 2025","passed","Thu Oct 30 20:18:11 UTC 2025","Authorization","Authentication","",""
